Player,Matches,RiP%,RiP W%,RetWnr%,Wnr FH%,RDI,Slice%,1st: RiP%,RiP W%.1,RetWnr%.1,RDI.1,Slice%.1,2nd: RiP%,RiP W%.2,RetWnr%.2,RDI.2,Slice%.2
Lucas Pouille,42,65.3%,46.0%,4.1%,39.2%,2.21,17.0%,61.6%,40.5%,2.6%,2.16,25.1%,78.2%,53.9%,7.3%,2.25,8.3%
Janko Tipsarevic,30,66.4%,47.0%,3.1%,37.8%,2.23,23.8%,60.5%,42.9%,1.8%,2.19,31.6%,84.1%,51.8%,5.6%,2.27,15.8%
Alexander Bublik,56,66.7%,43.8%,4.1%,51.2%,2.11,18.9%,64.0%,39.6%,3.2%,2.06,28.6%,80.6%,50.2%,6.4%,2.16,7.1%
Holger Rune,44,66.3%,48.2%,3.6%,50.4%,2.29,11.2%,63.8%,44.7%,3.3%,2.25,16.6%,80.6%,53.6%,4.7%,2.34,2.6%
Reilly Opelka,54,56.2%,42.0%,3.6%,42.7%,2.1,31.0%,52.6%,36.7%,2.6%,2.02,38.6%,71.3%,50.4%,6.0%,2.2,21.8%
Taylor Fritz,71,66.1%,47.1%,3.1%,61.3%,2.29,21.1%,62.0%,42.3%,2.0%,2.23,35.2%,81.6%,54.2%,5.4%,2.35,6.9%
Pete Sampras,167,63.2%,48.8%,7.9%,46.4%,1.76,18.3%,59.2%,46.0%,7.6%,1.55,22.4%,80.7%,51.9%,9.9%,1.96,14.4%
Sebastian Korda,28,65.7%,50.1%,4.5%,53.6%,2.28,10.3%,62.3%,46.4%,3.6%,2.25,15.9%,79.8%,55.3%,6.6%,2.34,2.4%
Tommy Robredo,26,70.8%,45.2%,3.3%,46.8%,2.18,11.2%,65.4%,41.4%,2.1%,2.15,13.8%,86.0%,50.1%,5.6%,2.24,6.4%
Kevin Anderson,46,61.7%,45.6%,3.0%,56.0%,2.15,26.6%,56.3%,41.3%,2.3%,2.12,37.0%,77.8%,51.8%,4.7%,2.18,13.7%
Bjorn Borg,32,74.2%,52.8%,4.0%,43.7%,2.09,36.2%,77.2%,48.7%,3.6%,2.01,39.9%,88.4%,59.1%,5.7%,2.19,31.5%
Marat Safin,44,66.2%,50.1%,3.0%,49.3%,2.14,25.7%,60.1%,45.9%,2.3%,2.06,36.1%,82.4%,54.5%,4.5%,2.21,17.6%
Borna Coric,65,64.8%,48.8%,2.7%,56.6%,2.29,18.6%,60.2%,45.5%,2.5%,2.23,26.6%,79.6%,53.1%,3.4%,2.37,7.6%
Alejandro Davidovich Fokina,39,70.3%,49.1%,4.7%,62.8%,2.24,6.7%,68.1%,45.3%,4.4%,2.25,8.3%,83.8%,54.5%,5.9%,2.23,3.3%
Yoshihito Nishioka,39,66.3%,46.9%,3.3%,48.0%,2.3,11.9%,60.5%,41.3%,2.0%,2.31,16.8%,85.4%,54.1%,6.0%,2.28,2.5%
Sergi Bruguera,26,73.2%,48.0%,4.3%,47.5%,2.13,29.3%,70.1%,44.5%,2.4%,2.15,33.1%,88.1%,52.8%,8.1%,2.09,23.7%
Gael Monfils,103,72.5%,47.3%,3.4%,56.0%,2.17,18.7%,70.3%,44.0%,2.6%,2.12,24.9%,84.9%,52.1%,5.2%,2.24,9.6%
