player_id,Player,Matches,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP/Match,FHP/100,BHP/Match,BHP/100
78,Joao Sousa,29,4.2,4.4,4.0,0.494,0.498,0.505,0.47600000000000003,0.635,0.201,10.8,6.7,-3.8,-5.2
79,Kei Nishikori,108,4.1,4.3,3.8,0.47200000000000003,0.52,0.56,0.535,0.496,0.14800000000000002,6.1,5.1,4.0,3.6
80,Pierre Hugues Herbert,20,3.2,3.1,3.4,0.47700000000000004,0.504,0.405,0.574,0.511,0.284,2.8,3.0,-1.3,-1.8
81,David Ferrer,113,5.0,5.3,4.7,0.47,0.498,0.515,0.496,0.557,0.08900000000000001,7.3,4.1,-0.5,-0.4
82,Sergiy Stakhovsky,20,3.5,3.3,3.6,0.49700000000000005,0.457,0.485,0.503,0.435,0.46299999999999997,-2.9,-4.0,0.6,1.0
83,Andreas Seppi,29,4.4,4.7,4.0,0.469,0.479,0.516,0.46,0.508,0.192,5.2,3.6,-2.6,-2.2
84,Brandon Nakashima,26,4.3,4.3,4.3,0.504,0.515,0.473,0.48200000000000004,0.528,0.19699999999999998,7.2,5.0,1.1,1.0
85,Mikhail Kukushkin,22,4.5,5.0,4.0,0.461,0.47100000000000003,0.525,0.524,0.495,0.142,6.0,4.3,0.8,0.6
86,Richard Gasquet,84,4.4,4.5,4.2,0.48100000000000004,0.479,0.478,0.456,0.44799999999999995,0.23,2.6,2.5,2.0,1.8
87,Feliciano Lopez,64,3.6,3.2,3.9,0.493,0.45,0.433,0.444,0.526,0.721,-3.5,-3.2,-1.9,-6.8
88,James Blake,25,3.8,3.8,3.7,0.47700000000000004,0.483,0.518,0.46799999999999997,0.5,0.23800000000000002,8.0,6.2,1.2,1.2
89,Jeremy Chardy,27,3.4,3.3,3.6,0.478,0.469,0.447,0.439,0.597,0.33799999999999997,4.1,3.4,-3.7,-6.7
90,Pablo Carreno Busta,60,4.4,4.7,4.1,0.493,0.47600000000000003,0.535,0.5,0.511,0.10099999999999999,9.9,6.8,2.0,1.4
91,Steve Johnson,29,3.5,3.4,3.6,0.483,0.467,0.442,0.446,0.5489999999999999,0.743,6.5,6.3,-0.2,-0.9
