player_id,Player,Matches,SnV Freq,SnV W%,Net Freq,Net W%,FH Wnr%,FH DTL Wnr%,FH IO Wnr%,BH Wnr%,BH DTL Wnr%,Drop Freq,Drop Wnr%,RallyAgg,ReturnAgg
61,Kevin Anderson,46,0.052000000000000005,0.665,0.11900000000000001,0.6679999999999999,0.159,0.22899999999999998,0.13699999999999998,0.079,0.221,0.006,0.344,19,43
62,Bjorn Borg,32,0.21,0.691,0.226,0.675,0.094,0.17300000000000001,0.079,0.078,0.193,0.0,0.25,-87,-78
63,Marat Safin,44,0.042,0.6609999999999999,0.142,0.6659999999999999,0.114,0.18600000000000003,0.113,0.095,0.245,0.008,0.23800000000000002,-14,2
64,Borna Coric,65,0.036000000000000004,0.76,0.10800000000000001,0.684,0.10099999999999999,0.136,0.10099999999999999,0.07200000000000001,0.259,0.008,0.321,-22,-11
65,Alejandro Davidovich Fokina,39,0.019,0.703,0.08800000000000001,0.67,0.128,0.16,0.17300000000000001,0.094,0.255,0.032,0.315,12,3
66,Yoshihito Nishioka,39,0.005,0.733,0.08,0.659,0.08,0.149,0.055999999999999994,0.08199999999999999,0.153,0.006,0.306,-84,-88
67,Sergi Bruguera,26,0.013000000000000001,0.5670000000000001,0.106,0.7,0.09300000000000001,0.12300000000000001,0.071,0.068,0.222,0.009000000000000001,0.315,-88,-80
68,Gael Monfils,103,0.047,0.623,0.087,0.6809999999999999,0.122,0.184,0.094,0.064,0.23800000000000002,0.011000000000000001,0.23600000000000002,-57,-27
69,Thomas Muster,33,0.018000000000000002,0.623,0.11199999999999999,0.696,0.09,0.139,0.067,0.08900000000000001,0.10099999999999999,0.004,0.22399999999999998,-77,-70
70,John Millman,25,0.001,0.33299999999999996,0.063,0.657,0.094,0.166,0.07400000000000001,0.069,0.308,0.001,0.25,-78,-67
71,Miomir Kecmanovic,38,0.001,1.0,0.07200000000000001,0.65,0.12300000000000001,0.195,0.11599999999999999,0.069,0.262,0.006999999999999999,0.359,-77,-71
